"","FIPS","stateName","countyName","ccvi"
"1",22071000100,"LOUISIANA","Orleans","0.25987448220445802"
"2",22071000200,"LOUISIANA","Orleans","0.62991646001025203"
"3",22071000300,"LOUISIANA","Orleans","0.63490392208475899"
"4",22071000400,"LOUISIANA","Orleans","0.65349607237361595"
"5",22071000601,"LOUISIANA","Orleans","0.55225059226112105"
"6",22071000602,"LOUISIANA","Orleans","0.69199650877654795"
"7",22071000603,"LOUISIANA","Orleans","0.81813773707762405"
"8",22071000604,"LOUISIANA","Orleans","0.76585250966320795"
"9",22071000605,"LOUISIANA","Orleans","0.66897105886590702"
"10",22071000606,"LOUISIANA","Orleans","0.69478117510148096"
"11",22071000607,"LOUISIANA","Orleans","0.46034274947700898"
"12",22071000611,"LOUISIANA","Orleans","0.89013729374766204"
"13",22071000612,"LOUISIANA","Orleans","9.4831049722226099E-2"
"14",22071000613,"LOUISIANA","Orleans","0.84008257020545596"
"15",22071000615,"LOUISIANA","Orleans","0.59550297169615296"
"16",22071000616,"LOUISIANA","Orleans","0.92399661960903801"
"17",22071000617,"LOUISIANA","Orleans","0.88009309929205704"
"18",22071000618,"LOUISIANA","Orleans","0.64878569152547105"
"19",22071000701,"LOUISIANA","Orleans","0.76251368088555205"
"20",22071000702,"LOUISIANA","Orleans","0.71944140424765501"
"21",22071000800,"LOUISIANA","Orleans","0.81511755171028399"
"22",22071000901,"LOUISIANA","Orleans","0.52865712583643898"
"23",22071000902,"LOUISIANA","Orleans","0.60601820423657204"
"24",22071000903,"LOUISIANA","Orleans","0.66715617683323902"
"25",22071000904,"LOUISIANA","Orleans","0.83084191130629903"
"26",22071001100,"LOUISIANA","Orleans","0.54460315041354401"
"27",22071001200,"LOUISIANA","Orleans","0.43296712431249201"
"28",22071001301,"LOUISIANA","Orleans","0.91774843795458605"
"29",22071001302,"LOUISIANA","Orleans","0.72337595766198903"
"30",22071001401,"LOUISIANA","Orleans","0.727365927321594"
"31",22071001402,"LOUISIANA","Orleans","0.77053518238871699"
"32",22071001500,"LOUISIANA","Orleans","0.75744309444313596"
"33",22071001600,"LOUISIANA","Orleans","NULL"
"34",22071001701,"LOUISIANA","Orleans","0.69788448483673005"
"35",22071001702,"LOUISIANA","Orleans","0.78463861681051805"
"36",22071001720,"LOUISIANA","Orleans","0.63329685097186195"
"37",22071001722,"LOUISIANA","Orleans","0.84617835718540901"
"38",22071001723,"LOUISIANA","Orleans","0.71806985217716601"
"39",22071001724,"LOUISIANA","Orleans","0.80744240174006998"
"40",22071001725,"LOUISIANA","Orleans","0.82348540474640097"
"41",22071001730,"LOUISIANA","Orleans","0.49213782020199198"
"42",22071001734,"LOUISIANA","Orleans","7.7444202768041495E-2"
"43",22071001735,"LOUISIANA","Orleans","0.71063022124935904"
"44",22071001736,"LOUISIANA","Orleans","0.63200842326928097"
"45",22071001737,"LOUISIANA","Orleans","0.71097657278231097"
"46",22071001739,"LOUISIANA","Orleans","0.56708829193277999"
"47",22071001740,"LOUISIANA","Orleans","0.62031559551682602"
"48",22071001741,"LOUISIANA","Orleans","0.672670093237833"
"49",22071001743,"LOUISIANA","Orleans","0.771130907025394"
"50",22071001744,"LOUISIANA","Orleans","0.766462088361203"
"51",22071001745,"LOUISIANA","Orleans","0.73682825120184003"
"52",22071001746,"LOUISIANA","Orleans","0.93780911874315998"
"53",22071001747,"LOUISIANA","Orleans","0.27401947881021299"
"54",22071001748,"LOUISIANA","Orleans","0.63955888668763206"
"55",22071001749,"LOUISIANA","Orleans","0.80674969867416602"
"56",22071001750,"LOUISIANA","Orleans","0.83370970199914096"
"57",22071001751,"LOUISIANA","Orleans","0.93523226333799803"
"58",22071001800,"LOUISIANA","Orleans","0.53381083664676299"
"59",22071001900,"LOUISIANA","Orleans","0.829719732339535"
"60",22071002000,"LOUISIANA","Orleans","0.76554772031421003"
"61",22071002100,"LOUISIANA","Orleans","0.85440766960834602"
"62",22071002200,"LOUISIANA","Orleans","0.76987018744544999"
"63",22071002300,"LOUISIANA","Orleans","0.87017359138831596"
"64",22071002401,"LOUISIANA","Orleans","0.55877585514193495"
"65",22071002402,"LOUISIANA","Orleans","0.74980950665687696"
"66",22071002501,"LOUISIANA","Orleans","0.66172538479655296"
"67",22071002502,"LOUISIANA","Orleans","0.55931616353334002"
"68",22071002503,"LOUISIANA","Orleans","0.55507682077000897"
"69",22071002504,"LOUISIANA","Orleans","0.60320582978900295"
"70",22071002600,"LOUISIANA","Orleans","0.35175461686593401"
"71",22071002700,"LOUISIANA","Orleans","0.77730981837325597"
"72",22071002800,"LOUISIANA","Orleans","0.831312949391114"
"73",22071002900,"LOUISIANA","Orleans","0.73686981338579405"
"74",22071003000,"LOUISIANA","Orleans","0.79864507280309205"
"75",22071003100,"LOUISIANA","Orleans","0.73678668901788602"
"76",22071003301,"LOUISIANA","Orleans","0.40564691539324799"
"77",22071003302,"LOUISIANA","Orleans","0.51613305440489898"
"78",22071003303,"LOUISIANA","Orleans","0.51284964187251503"
"79",22071003304,"LOUISIANA","Orleans","0.71592247267286402"
"80",22071003307,"LOUISIANA","Orleans","0.59065405023482598"
"81",22071003308,"LOUISIANA","Orleans","0.65889915628766604"
"82",22071003400,"LOUISIANA","Orleans","0.77665867749130701"
"83",22071003500,"LOUISIANA","Orleans","0.75159668056690798"
"84",22071003600,"LOUISIANA","Orleans","0.71164156772557896"
"85",22071003701,"LOUISIANA","Orleans","0.51823887172524596"
"86",22071003702,"LOUISIANA","Orleans","0.75474155248611097"
"87",22071003800,"LOUISIANA","Orleans","0.30416591623834499"
"88",22071003900,"LOUISIANA","Orleans","0.74529308266718397"
"89",22071004000,"LOUISIANA","Orleans","0.817749823360718"
"90",22071004100,"LOUISIANA","Orleans","0.34068522187279199"
"91",22071004401,"LOUISIANA","Orleans","0.63434975963203599"
"92",22071004402,"LOUISIANA","Orleans","0.39714052174394898"
"93",22071004500,"LOUISIANA","Orleans","0.76046327981047601"
"94",22071004600,"LOUISIANA","Orleans","0.25582909629958001"
"95",22071004800,"LOUISIANA","Orleans","0.63110790928360605"
"96",22071004900,"LOUISIANA","Orleans","0.88900126071957997"
"97",22071005000,"LOUISIANA","Orleans","0.79202283149305197"
"98",22071005400,"LOUISIANA","Orleans","0.55277704659120797"
"99",22071005500,"LOUISIANA","Orleans","9.2642108033970202E-2"
"100",22071005601,"LOUISIANA","Orleans","0.19845942838142999"
"101",22071005602,"LOUISIANA","Orleans","0.120627311896482"
"102",22071005603,"LOUISIANA","Orleans","0.106676272149181"
"103",22071005604,"LOUISIANA","Orleans","4.6466521660824898E-2"
"104",22071006000,"LOUISIANA","Orleans","0.77138028012911997"
"105",22071006300,"LOUISIANA","Orleans","0.81533921669137299"
"106",22071006400,"LOUISIANA","Orleans","0.554010058048517"
"107",22071006500,"LOUISIANA","Orleans","0.70533796982585395"
"108",22071006900,"LOUISIANA","Orleans","0.74207894044139"
"109",22071007000,"LOUISIANA","Orleans","0.51151965198598004"
"110",22071007101,"LOUISIANA","Orleans","0.79875590529363705"
"111",22071007200,"LOUISIANA","Orleans","0.93084052590016797"
"112",22071007501,"LOUISIANA","Orleans","0.83853091533783097"
"113",22071007502,"LOUISIANA","Orleans","0.92506338233052998"
"114",22071007604,"LOUISIANA","Orleans","6.6984386472894494E-2"
"115",22071007605,"LOUISIANA","Orleans","0.83837852066333196"
"116",22071007606,"LOUISIANA","Orleans","0.36049652955764"
"117",22071007700,"LOUISIANA","Orleans","0.25203308349842801"
"118",22071007800,"LOUISIANA","Orleans","0.50444022665244304"
"119",22071008200,"LOUISIANA","Orleans","0.41815713276347"
"120",22071008300,"LOUISIANA","Orleans","0.42017982571590901"
